Fiscal Year Ended,Tax Category,Tax or Fee,Amount Collected,Tax or Fee Sort Order
2015,Property Transfer,Gift Tax,354021,37
2015,Property Transfer,Real Estate Transfer Tax,1037880453,38
2015,Property Transfer,Real Property Transfer Gains Tax,39382,39
2015,Other Taxes and Fees,Pari-Mutuel Flat Racing Tax,12427644,40
2015,Other Taxes and Fees,New York Racing Association Franchise Fee,0,41
2015,Other Taxes and Fees,Flat Racing Uncashed Tickets,2038661,42
2015,Other Taxes and Fees,Pari-Mutuel Harness Racing Tax,867122,43
2015,Other Taxes and Fees,Harness Racing Uncashed Tickets,598281,44
2015,Other Taxes and Fees,Off-Track Betting Tax on Commissions and Breakage,4742999,45
2015,Other Taxes and Fees,Off-Track Betting Uncashed Tickets,876711,46
2015,Other Taxes and Fees,Racing Admissions Tax (includes Off-Track Betting Teletheater Admissions),500717,47
2015,Other Taxes and Fees,Boxing & Wrestling Exhibitions Tax,627028,48
2015,Other Taxes and Fees,Hazardous Waste Assessments (Environmental Conservation Law),1394784,49
2015,Other Taxes and Fees,Waste Tire Management and Recycling Fees (Environmental Conservation Law),25892910,50
2015,Other Taxes and Fees,Wireless Communication Service Surcharges (County Law),0,51
2015,Other Taxes and Fees,Returnable Beverage Container Deposits (Environmental Conservation Law),109541443,52
2015,Other Taxes and Fees,Tax Return Preparer Registration Fees,1066558,53
2015,Other Taxes and Fees,Office of General Services Procurement Fees,0,54
2015,Total,Total State Taxes and Fees Collected by the Department of Taxation and Finance,68103753958,55
2014,Personal Income,Personal Income Tax,42960774915,1
2014,Corporation and Business,Business Corporations Article 9-A,3231883550,2
2004,"Sales, Excise and Use","Diesel Motor Fuel, Article 12-A",52682421,22
2014,Corporation and Business,"Foreign Corporation Licenses, Article 9, Section 181",27157629,3
2014,Corporation and Business,"Transportation, Transmission, Article 9, Section 184",44874108,4
2014,Corporation and Business,"Transportation, Transmission, Article 9, Section 183",22691549,5
2014,Corporation and Business,"Agricultural Co-operatives, Article 9, Section 185",-263473,6
2014,Corporation and Business,"Light, Water, Power, Article 9, Section 186",24299344,7
2014,Corporation and Business,"Utilities, Article 9, Section 186-a",162733769,8
2014,Corporation and Business,"Telecommunications, Article 9, Section 186-e",400361429,9
2014,Corporation and Business,"Public Safety Communications Surcharge, Article 9, Section 186-f",183886311,10
2014,Corporation and Business,"Importers of Natural Gas, Article 9, Section 189",0,11
2014,Corporation and Business,"Unrelated Business Corporations, Article 13",13185369,12
2014,Corporation and Business,"Clearing House Banks, Article 32",-20132893,13
2014,Corporation and Business,"Other Commercial Banks, Article 32",824618603,14
2014,Corporation and Business,"Savings Institutions (Savings Banks and Savings and Loan Associations), Article 32",83831512,15
2014,Corporation and Business,"Insurance Corporations, Article 33",1179036060,16
2014,Corporation and Business,"Insurance, Direct Writings, Article 33-A",19935589,17
2014,Corporation and Business,"Lubricating Oils, Article 24",860,18
2014,Corporation and Business,"Oil Users, Article 9, Section 182-a",0,19
2014,Corporation and Business,"Petroleum Businesses, Article 13-A",1154508614,20
2014,"Sales, Excise and Use",Sales and Compensating Use Tax - State Share,11857005283,21
2014,"Sales, Excise and Use","Diesel Motor Fuel, Article 12-A",60245747,22
2014,"Sales, Excise and Use","Motor Fuel, Article 12-A",412909438,23
2014,"Sales, Excise and Use",Petroleum Testing Fees,2692920,24
2014,"Sales, Excise and Use",Cigarette Tax,1351580340,25
2014,"Sales, Excise and Use",Tobacco Products Tax,94604187,26
2014,"Sales, Excise and Use",Cigarette Retail License Fees,7176793,27
2014,"Sales, Excise and Use",Cigarette Vending Machine Stickers,9800,28
2014,"Sales, Excise and Use",Alcoholic Beverage Tax,250331689,29
2014,"Sales, Excise and Use",Non-Refillable Beverage Containers,0,30
2014,"Sales, Excise and Use",Highway Use Truck Mileage Tax,99273044,31
2014,"Sales, Excise and Use",Highway Use Vehicle Registration Certificates,5823351,32
2014,"Sales, Excise and Use",Highway Use Fuel Use Tax,31126446,33
2014,"Sales, Excise and Use",Hotel/Motel Room Occupancy Tax,0,34
2014,"Sales, Excise and Use",Passenger Car Rental Tax,72125943,35
2014,Property Transfer,Estate Tax,1238278860,36
2014,Property Transfer,Gift Tax,42139,37
2014,Property Transfer,Real Estate Transfer Tax,911351843,38
2014,Property Transfer,Real Property Transfer Gains Tax,-159421,39
2014,Other Taxes and Fees,Pari-Mutuel Flat Racing Tax,11039075,40
2014,Other Taxes and Fees,New York Racing Association Franchise Fee,0,41
2014,Other Taxes and Fees,Flat Racing Uncashed Tickets,1997842,42
2014,Other Taxes and Fees,Pari-Mutuel Harness Racing Tax,594131,43
2014,Other Taxes and Fees,Harness Racing Uncashed Tickets,710420,44
2014,Other Taxes and Fees,Off-Track Betting Tax on Commissions and Breakage,5188460,45
2014,Other Taxes and Fees,Off-Track Betting Uncashed Tickets,1889760,46
2014,Other Taxes and Fees,Racing Admissions Tax (includes Off-Track Betting Teletheater Admissions),349683,47
2014,Other Taxes and Fees,Boxing & Wrestling Exhibitions Tax,645311,48
2014,Other Taxes and Fees,Hazardous Waste Assessments (Environmental Conservation Law),2378535,49
2014,Other Taxes and Fees,Waste Tire Management and Recycling Fees (Environmental Conservation Law),26916772,50
2014,Other Taxes and Fees,Wireless Communication Service Surcharges (County Law),0,51
2014,Other Taxes and Fees,Returnable Beverage Container Deposits (Environmental Conservation Law),104928825,52
2014,Other Taxes and Fees,Tax Return Preparer Registration Fees,1426304,53
2014,Other Taxes and Fees,Office of General Services Procurement Fees,0,54
2014,Total,Total State Taxes and Fees Collected by the Department of Taxation and Finance,66865866363,55
2013,Personal Income,Personal Income Tax,40226714989,1
2013,Corporation and Business,Business Corporations Article 9-A,2610867609,2
2013,Corporation and Business,"Foreign Corporation Licenses, Article 9, Section 181",31503526,3
2013,Corporation and Business,"Transportation, Transmission, Article 9, Section 183",20772325,4
2013,Corporation and Business,"Transportation, Transmission, Article 9, Section 184",52465789,5
2013,Corporation and Business,"Agricultural Co-operatives, Article 9, Section 185",-641185,6
2013,Corporation and Business,"Light, Water, Power, Article 9, Section 186",27073090,7
2013,Corporation and Business,"Utilities, Article 9, Section 186-a",168689298,8
2013,Corporation and Business,"Telecommunications, Article 9, Section 186-e",459227244,9
2013,Corporation and Business,"Public Safety Communications Surcharge, Article 9, Section 186-f",187550204,10
2013,Corporation and Business,"Importers of Natural Gas, Article 9, Section 189",20345,11
2013,Corporation and Business,"Unrelated Business Corporations, Article 13",12814918,12
2013,Corporation and Business,"Clearing House Banks, Article 32",33115517,13
2013,Corporation and Business,"Other Commercial Banks, Article 32",1581118387,14
2013,Corporation and Business,"Savings Institutions (Savings Banks and Savings and Loan Associations), Article 32",-17344697,15
2013,Corporation and Business,"Insurance Corporations, Article 33",1257143766,16
2013,Corporation and Business,"Insurance, Direct Writings, Article 33-A",15100346,17
2013,Corporation and Business,"Lubricating Oils, Article 24",2577,18
2013,Corporation and Business,"Oil Users, Article 9, Section 182-a",0,19
2013,Corporation and Business,"Petroleum Businesses, Article 13-A",1139721573,20
2013,"Sales, Excise and Use",Sales and Compensating Use Tax - State Share,11346313952,21
2013,"Sales, Excise and Use","Diesel Motor Fuel, Article 12-A",65414583,22
2013,"Sales, Excise and Use","Motor Fuel, Article 12-A",427048964,23
2013,"Sales, Excise and Use",Petroleum Testing Fees,2749040,24
2013,"Sales, Excise and Use",Cigarette Tax,1451762687,25
2013,"Sales, Excise and Use",Tobacco Products Tax,91255918,26
2013,"Sales, Excise and Use",Cigarette Retail License Fees,7557460,27
2013,"Sales, Excise and Use",Cigarette Vending Machine Stickers,12881,28
2013,"Sales, Excise and Use",Alcoholic Beverage Tax,246240057,29
2013,"Sales, Excise and Use",Non-Refillable Beverage Containers,222,30
2013,"Sales, Excise and Use",Highway Use Truck Mileage Tax,98110840,31
2013,"Sales, Excise and Use",Highway Use Vehicle Registration Certificates,15026717,32
2013,"Sales, Excise and Use",Highway Use Fuel Use Tax,31870730,33
2013,"Sales, Excise and Use",Hotel/Motel Room Occupancy Tax,51,34
2013,"Sales, Excise and Use",Passenger Car Rental Tax,68148242,35
2013,Property Transfer,Estate Tax,1014028574,36
2013,Property Transfer,Gift Tax,833507,37
2013,Property Transfer,Real Estate Transfer Tax,756354761,38
2013,Property Transfer,Real Property Transfer Gains Tax,209151,39
2013,Other Taxes and Fees,Pari-Mutuel Flat Racing Tax,11407288,40
2013,Other Taxes and Fees,New York Racing Association Franchise Fee,0,41
2013,Other Taxes and Fees,Flat Racing Uncashed Tickets,1829904,42
2013,Other Taxes and Fees,Pari-Mutuel Harness Racing Tax,593127,43
2013,Other Taxes and Fees,Harness Racing Uncashed Tickets,670039,44
2013,Other Taxes and Fees,Off-Track Betting Tax on Commissions and Breakage,5416114,45
2013,Other Taxes and Fees,Off-Track Betting Uncashed Tickets,2352978,46
2013,Other Taxes and Fees,Racing Admissions Tax (includes Off-Track Betting Teletheater Admissions),371105,47
2013,Other Taxes and Fees,Boxing & Wrestling Exhibitions Tax,658073,48
2013,Other Taxes and Fees,Hazardous Waste Assessments (Environmental Conservation Law),2627718,49
2013,Other Taxes and Fees,Waste Tire Management and Recycling Fees (Environmental Conservation Law),24902626,50
2013,Other Taxes and Fees,Wireless Communication Service Surcharges (County Law),0,51
2013,Other Taxes and Fees,Returnable Beverage Container Deposits (Environmental Conservation Law),114232288,52
2013,Other Taxes and Fees,Tax Return Preparer Registration Fees,1603684,53
2013,Other Taxes and Fees,Office of General Services Procurement Fees,0,54
2013,Total,Total State Taxes and Fees Collected by the Department of Taxation and Finance,63595518902,55
2012,Personal Income,Personal Income Tax,38767826942,1
2012,Corporation and Business,Business Corporations Article 9-A,2718582205,2
2012,Corporation and Business,"Foreign Corporation Licenses, Article 9, Section 181",27797642,3
2012,Corporation and Business,"Transportation, Transmission, Article 9, Section 183",19349612,4
2012,Corporation and Business,"Transportation, Transmission, Article 9, Section 184",47036785,5
2012,Corporation and Business,"Agricultural Co-operatives, Article 9, Section 185",-253576,6
2012,Corporation and Business,"Light, Water, Power, Article 9, Section 186",27311530,7
2012,Corporation and Business,"Utilities, Article 9, Section 186-a",150743725,8
2012,Corporation and Business,"Telecommunications, Article 9, Section 186-e",410399855,9
2012,Corporation and Business,"Public Safety Communications Surcharge, Article 9, Section 186-f",194615796,10
2012,Corporation and Business,"Importers of Natural Gas, Article 9, Section 189",0,11
2012,Corporation and Business,"Unrelated Business Corporations, Article 13",5174016,12
2012,Corporation and Business,"Clearing House Banks, Article 32",-35806489,13
2012,Corporation and Business,"Other Commercial Banks, Article 32",1133962884,14
2012,Corporation and Business,"Savings Institutions (Savings Banks and Savings and Loan Associations), Article 32",64553006,15
2012,Corporation and Business,"Insurance Corporations, Article 33",1171117906,16
2012,Corporation and Business,"Insurance, Direct Writings, Article 33-A",11351777,17
2012,Corporation and Business,"Lubricating Oils, Article 24",2100,18
2012,Corporation and Business,"Oil Users, Article 9, Section 182-a",0,19
2012,Corporation and Business,"Petroleum Businesses, Article 13-A",1100354360,20
2012,"Sales, Excise and Use",Sales and Compensating Use Tax - State Share,11168121899,21
2012,"Sales, Excise and Use","Diesel Motor Fuel, Article 12-A",67351810,22
2012,"Sales, Excise and Use","Motor Fuel, Article 12-A",434257984,23
2012,"Sales, Excise and Use",Petroleum Testing Fees,2762119,24
2012,"Sales, Excise and Use",Cigarette Tax,1529367509,25
2012,"Sales, Excise and Use",Tobacco Products Tax,102625863,26
2012,"Sales, Excise and Use",Cigarette Retail License Fees,1725773,27
2012,"Sales, Excise and Use",Cigarette Vending Machine Stickers,22913,28
2012,"Sales, Excise and Use",Alcoholic Beverage Tax,238281669,29
2012,"Sales, Excise and Use",Non-Refillable Beverage Containers,0,30
2012,"Sales, Excise and Use",Highway Use Truck Mileage Tax,98286193,31
2012,"Sales, Excise and Use",Highway Use Vehicle Registration Certificates,3320597,32
2012,"Sales, Excise and Use",Highway Use Fuel Use Tax,30522363,33
2012,"Sales, Excise and Use",Hotel/Motel Room Occupancy Tax,3,34
2012,"Sales, Excise and Use",Passenger Car Rental Tax,66436851,35
2012,Property Transfer,Estate Tax,1078426195,36
2012,Property Transfer,Gift Tax,91262,37
2012,Property Transfer,Real Estate Transfer Tax,610047675,38
2012,Property Transfer,Real Property Transfer Gains Tax,13857,39
2012,Other Taxes and Fees,Pari-Mutuel Flat Racing Tax,10902624,40
2012,Other Taxes and Fees,New York Racing Association Franchise Fee,0,41
2012,Other Taxes and Fees,Flat Racing Uncashed Tickets,2187799,42
2012,Other Taxes and Fees,Pari-Mutuel Harness Racing Tax,588576,43
2012,Other Taxes and Fees,Harness Racing Uncashed Tickets,377792,44
2012,Other Taxes and Fees,Off-Track Betting Tax on Commissions and Breakage,5706051,45
2012,Other Taxes and Fees,Off-Track Betting Uncashed Tickets,2599166,46
2012,Other Taxes and Fees,Racing Admissions Tax (includes Off-Track Betting Teletheater Admissions),354855,47
2012,Other Taxes and Fees,Boxing & Wrestling Exhibitions Tax,412840,48
2012,Other Taxes and Fees,Hazardous Waste Assessments (Environmental Conservation Law),7104253,49
2012,Other Taxes and Fees,Waste Tire Management and Recycling Fees (Environmental Conservation Law),23573063,50
2012,Other Taxes and Fees,Wireless Communication Service Surcharges (County Law),0,51
1998,Property Transfer,Real Estate Transfer Tax,229631947,38
2012,Other Taxes and Fees,Returnable Beverage Container Deposits (Environmental Conservation Law),103643145,52
2012,Other Taxes and Fees,Tax Return Preparer Registration Fees,1145441,53
2012,Other Taxes and Fees,Office of General Services Procurement Fees,17402,54
2012,Total,Total State Taxes and Fees Collected by the Department of Taxation and Finance,61404395618,55
2011,Personal Income,Personal Income Tax,36209215560,1
2011,Corporation and Business,Business Corporations Article 9-A,2463748794,2
2011,Corporation and Business,"Foreign Corporation Licenses, Article 9, Section 181",28933254,3
2011,Corporation and Business,"Transportation, Transmission, Article 9, Section 183",22905816,4
2011,Corporation and Business,"Transportation, Transmission, Article 9, Section 184",59096088,5
2011,Corporation and Business,"Agricultural Co-operatives, Article 9, Section 185",149628,6
2011,Corporation and Business,"Light, Water, Power, Article 9, Section 186",4869092,7
2011,Corporation and Business,"Utilities, Article 9, Section 186-a",143025221,8
2011,Corporation and Business,"Telecommunications, Article 9, Section 186-e",438419388,9
2011,Corporation and Business,"Public Safety Communications Surcharge, Article 9, Section 186-f",193787489,10
2011,Corporation and Business,"Importers of Natural Gas, Article 9, Section 189",0,11
2011,Corporation and Business,"Unrelated Business Corporations, Article 13",8468211,12
2011,Corporation and Business,"Clearing House Banks, Article 32",11327175,13
2011,Corporation and Business,"Other Commercial Banks, Article 32",926219385,14
2011,Corporation and Business,"Savings Institutions (Savings Banks and Savings and Loan Associations), Article 32",35803640,15
2011,Corporation and Business,"Insurance Corporations, Article 33",1136628905,16
2011,Corporation and Business,"Insurance, Direct Writings, Article 33-A",11739030,17
2011,Corporation and Business,"Lubricating Oils, Article 24",1759,18
2011,Corporation and Business,"Oil Users, Article 9, Section 182-a",0,19
2011,Corporation and Business,"Petroleum Businesses, Article 13-A",1090438675,20
2011,"Sales, Excise and Use",Sales and Compensating Use Tax - State Share,10856940409,21
2011,"Sales, Excise and Use","Diesel Motor Fuel, Article 12-A",69908552,22
2011,"Sales, Excise and Use","Motor Fuel, Article 12-A",446236449,23
2011,"Sales, Excise and Use",Petroleum Testing Fees,2839424,24
2011,"Sales, Excise and Use",Cigarette Tax,1517149618,25
2011,"Sales, Excise and Use",Tobacco Products Tax,95859667,26
2011,"Sales, Excise and Use",Cigarette Retail License Fees,4046852,27
2011,"Sales, Excise and Use",Cigarette Vending Machine Stickers,189457,28
2011,"Sales, Excise and Use",Alcoholic Beverage Tax,229718722,29
2011,"Sales, Excise and Use",Non-Refillable Beverage Containers,0,30
2011,"Sales, Excise and Use",Highway Use Truck Mileage Tax,98125313,31
2011,"Sales, Excise and Use",Highway Use Vehicle Registration Certificates,2816024,32
2011,"Sales, Excise and Use",Highway Use Fuel Use Tax,28221141,33
2011,"Sales, Excise and Use",Hotel/Motel Room Occupancy Tax,0,34
2011,"Sales, Excise and Use",Passenger Car Rental Tax,61232637,35
2011,Property Transfer,Estate Tax,1218067936,36
2011,Property Transfer,Gift Tax,1179608,37
2011,Property Transfer,Real Estate Transfer Tax,580100733,38
2011,Property Transfer,Real Property Transfer Gains Tax,-2675,39
2011,Other Taxes and Fees,Pari-Mutuel Flat Racing Tax,7355022,40
2011,Other Taxes and Fees,New York Racing Association Franchise Fee,0,41
2011,Other Taxes and Fees,Flat Racing Uncashed Tickets,1440603,42
2011,Other Taxes and Fees,Pari-Mutuel Harness Racing Tax,660791,43
2011,Other Taxes and Fees,Harness Racing Uncashed Tickets,351134,44
2011,Other Taxes and Fees,Off-Track Betting Tax on Commissions and Breakage,9023632,45
2011,Other Taxes and Fees,Off-Track Betting Uncashed Tickets,2652700,46
2011,Other Taxes and Fees,Racing Admissions Tax (includes Off-Track Betting Teletheater Admissions),351686,47
2011,Other Taxes and Fees,Boxing & Wrestling Exhibitions Tax,360886,48
2011,Other Taxes and Fees,Hazardous Waste Assessments (Environmental Conservation Law),2719460,49
2011,Other Taxes and Fees,Waste Tire Management and Recycling Fees (Environmental Conservation Law),25052240,50
2011,Other Taxes and Fees,Wireless Communication Service Surcharges (County Law),280,51
2011,Other Taxes and Fees,Returnable Beverage Container Deposits (Environmental Conservation Law),115218489,52
2011,Other Taxes and Fees,Tax Return Preparer Registration Fees,1072096,53
2011,Other Taxes and Fees,Office of General Services Procurement Fees,1196107,54
2011,Total,Total State Taxes and Fees Collected by the Department of Taxation and Finance,58164862103,55
2010,Personal Income,Personal Income Tax,34751381665,1
2010,Corporation and Business,Business Corporations Article 9-A,2129778902,2
2010,Corporation and Business,"Foreign Corporation Licenses, Article 9, Section 181",25244032,3
2010,Corporation and Business,"Transportation, Transmission, Article 9, Section 183",29072429,4
2010,Corporation and Business,"Transportation, Transmission, Article 9, Section 184",69131961,5
2010,Corporation and Business,"Agricultural Co-operatives, Article 9, Section 185",-252648,6
2010,Corporation and Business,"Light, Water, Power, Article 9, Section 186",26665954,7
2010,Corporation and Business,"Utilities, Article 9, Section 186-a",149950197,8
2010,Corporation and Business,"Telecommunications, Article 9, Section 186-e",517204938,9
2010,Corporation and Business,"Public Safety Communications Surcharge, Article 9, Section 186-f",95113582,10
2010,Corporation and Business,"Importers of Natural Gas, Article 9, Section 189",2050060,11
2010,Corporation and Business,"Unrelated Business Corporations, Article 13",14761166,12
2010,Corporation and Business,"Clearing House Banks, Article 32",-3365174,13
2010,Corporation and Business,"Other Commercial Banks, Article 32",1147716522,14
2010,Corporation and Business,"Savings Institutions (Savings Banks and Savings and Loan Associations), Article 32",28911717,15
2010,Corporation and Business,"Insurance Corporations, Article 33",1258510724,16
2010,Corporation and Business,"Insurance, Direct Writings, Article 33-A",11889444,17
2010,Corporation and Business,"Lubricating Oils, Article 24",3315,18
2010,Corporation and Business,"Oil Users, Article 9, Section 182-a",0,19
2010,Corporation and Business,"Petroleum Businesses, Article 13-A",1103542805,20
2010,"Sales, Excise and Use",Sales and Compensating Use Tax - State Share,9903588183,21
2010,"Sales, Excise and Use","Diesel Motor Fuel, Article 12-A",65043617,22
2010,"Sales, Excise and Use","Motor Fuel, Article 12-A",441867017,23
2010,"Sales, Excise and Use",Petroleum Testing Fees,2776488,24
2010,"Sales, Excise and Use",Cigarette Tax,1287699624,25
2010,"Sales, Excise and Use",Tobacco Products Tax,63632247,26
2010,"Sales, Excise and Use",Cigarette Retail License Fees,12698360,27
2010,"Sales, Excise and Use",Cigarette Vending Machine Stickers,224141,28
2010,"Sales, Excise and Use",Alcoholic Beverage Tax,225572155,29
2010,"Sales, Excise and Use",Non-Refillable Beverage Containers,0,30
2010,"Sales, Excise and Use",Highway Use Truck Mileage Tax,99123081,31
2010,"Sales, Excise and Use",Highway Use Vehicle Registration Certificates,9539060,32
2010,"Sales, Excise and Use",Highway Use Fuel Use Tax,28584469,33
2010,"Sales, Excise and Use",Hotel/Motel Room Occupancy Tax,11838,34
2010,"Sales, Excise and Use",Passenger Car Rental Tax,55573488,35
2010,Property Transfer,Estate Tax,863975206,36
2010,Property Transfer,Gift Tax,2402083,37
2010,Property Transfer,Real Estate Transfer Tax,493049478,38
2010,Property Transfer,Real Property Transfer Gains Tax,-512948,39
2010,Other Taxes and Fees,Pari-Mutuel Flat Racing Tax,6710290,40
2010,Other Taxes and Fees,New York Racing Association Franchise Fee,0,41
2010,Other Taxes and Fees,Flat Racing Uncashed Tickets,363958,42
2010,Other Taxes and Fees,Pari-Mutuel Harness Racing Tax,669117,43
2010,Other Taxes and Fees,Harness Racing Uncashed Tickets,368799,44
2010,Other Taxes and Fees,Off-Track Betting Tax on Commissions and Breakage,11438554,45
2010,Other Taxes and Fees,Off-Track Betting Uncashed Tickets,2921520,46
2010,Other Taxes and Fees,Racing Admissions Tax (includes Off-Track Betting Teletheater Admissions),340222,47
2010,Other Taxes and Fees,Boxing & Wrestling Exhibitions Tax,350185,48
2010,Other Taxes and Fees,Hazardous Waste Assessments (Environmental Conservation Law),1786259,49
2010,Other Taxes and Fees,Waste Tire Management and Recycling Fees (Environmental Conservation Law),22264071,50
2010,Other Taxes and Fees,Wireless Communication Service Surcharges (County Law),97373003,51
2010,Other Taxes and Fees,Returnable Beverage Container Deposits (Environmental Conservation Law),47537947,52
2010,Other Taxes and Fees,Tax Return Preparer Registration Fees,1345869,53
2010,Other Taxes and Fees,Office of General Services Procurement Fees,745245,54
2009,Other Taxes and Fees,New York Racing Association Franchise Fee,0,41
2010,Total,Total State Taxes and Fees Collected by the Department of Taxation and Finance,55106374218,55
2009,Personal Income,Personal Income Tax,36840019400,1
2009,Corporation and Business,Business Corporations Article 9-A,2729201578,2
2009,Corporation and Business,"Foreign Corporation Licenses, Article 9, Section 181",21390462,3
2009,Corporation and Business,"Transportation, Transmission, Article 9, Section 184",63586794,4
2009,Corporation and Business,"Transportation, Transmission, Article 9, Section 183",26118071,5
2009,Corporation and Business,"Agricultural Co-operatives, Article 9, Section 185",-396650,6
2009,Corporation and Business,"Light, Water, Power, Article 9, Section 186",22198064,7
2009,Corporation and Business,"Utilities, Article 9, Section 186-a",111611713,8
2009,Corporation and Business,"Telecommunications, Article 9, Section 186-e",487174412,9
2009,Corporation and Business,"Public Safety Communications Surcharge, Article 9, Section 186-f",0,10
2009,Corporation and Business,"Importers of Natural Gas, Article 9, Section 189",11088892,11
2009,Corporation and Business,"Unrelated Business Corporations, Article 13",25787630,12
2009,Corporation and Business,"Clearing House Banks, Article 32",9557190,13
2009,Corporation and Business,"Other Commercial Banks, Article 32",1017563636,14
2009,Corporation and Business,"Savings Institutions (Savings Banks and Savings and Loan Associations), Article 32",34425217,15
2009,Corporation and Business,"Insurance Corporations, Article 33",1004720204,16
2009,Corporation and Business,"Insurance, Direct Writings, Article 33-A",11799060,17
2009,Corporation and Business,"Lubricating Oils, Article 24",855,18
2009,Corporation and Business,"Oil Users, Article 9, Section 182-a",0,19
2009,Corporation and Business,"Petroleum Businesses, Article 13-A",1106561616,20
2009,"Sales, Excise and Use",Sales and Compensating Use Tax - State Share,10373713322,21
2009,"Sales, Excise and Use","Diesel Motor Fuel, Article 12-A",67014501,22
2009,"Sales, Excise and Use","Motor Fuel, Article 12-A",436922709,23
2009,"Sales, Excise and Use",Petroleum Testing Fees,2803897,24
2009,"Sales, Excise and Use",Cigarette Tax,1289297371,25
2009,"Sales, Excise and Use",Tobacco Products Tax,48367726,26
2009,"Sales, Excise and Use",Cigarette Retail License Fees,2510413,27
2009,"Sales, Excise and Use",Cigarette Vending Machine Stickers,150419,28
2009,"Sales, Excise and Use",Alcoholic Beverage Tax,205908299,29
2009,"Sales, Excise and Use",Non-Refillable Beverage Containers,5232,30
2009,"Sales, Excise and Use",Highway Use Truck Mileage Tax,106235194,31
2009,"Sales, Excise and Use",Highway Use Vehicle Registration Certificates,2168191,32
2009,"Sales, Excise and Use",Highway Use Fuel Use Tax,32503659,33
2009,"Sales, Excise and Use",Hotel/Motel Room Occupancy Tax,0,34
2009,"Sales, Excise and Use",Passenger Car Rental Tax,50115701,35
2009,Property Transfer,Estate Tax,1162591665,36
2009,Property Transfer,Gift Tax,2655213,37
2009,Property Transfer,Real Estate Transfer Tax,701163664,38
2009,Property Transfer,Real Property Transfer Gains Tax,85623,39
2009,Other Taxes and Fees,Pari-Mutuel Flat Racing Tax,7602117,40
2009,Other Taxes and Fees,Flat Racing Uncashed Tickets,1503083,42
2009,Other Taxes and Fees,Pari-Mutuel Harness Racing Tax,588950,43
2009,Other Taxes and Fees,Harness Racing Uncashed Tickets,647848,44
2009,Other Taxes and Fees,Off-Track Betting Tax on Commissions and Breakage,14110272,45
2009,Other Taxes and Fees,Off-Track Betting Uncashed Tickets,3486443,46
2009,Other Taxes and Fees,Racing Admissions Tax (includes Off-Track Betting Teletheater Admissions),369100,47
2009,Other Taxes and Fees,Boxing & Wrestling Exhibitions Tax,404318,48
2009,Other Taxes and Fees,Hazardous Waste Assessments (Environmental Conservation Law),1472519,49
2009,Other Taxes and Fees,Waste Tire Management and Recycling Fees (Environmental Conservation Law),23774883,50
